OrderID,Region,Country,CustID,Customer_Name,ProductSKU,Product_Category,OrderLineItem,OrderQuantity,ProductCost,ProductPrice,OrderDate,AcquisitionSource,TransactionID,Fraud,PaymentMethod,CardType,Gender
SO45088,United Kingdom,United Kingdom,11398,COLIN NATH,BK-M82S-42,Plants,1,1,1912.1544,3399.99,03-01-2020,"Google-ads",R2712608754964983,FALSE,CREDITCARD,VISA,M
SO45092,Australia,Australia,18899,GLENN LIU,BK-R93R-52,Plants,1,1,2171.2942,3578.27,03-01-2020,"Google-ads",Q8132147175675431,FALSE,CREDITCARD,,M
SO45089,Southwest,United States,25977,JENNA LOPEZ,BK-M82B-48,Plants,1,1,1898.0944,3374.99,03-01-2020,"Google-ads",Z7157107312988898,FALSE,CREDITCARD,AMEX,M
SO45091,Australia,Australia,18909,JODI CHAVEZ,BK-R93R-56,Plants,1,1,2171.2942,3578.27,03-01-2020,"Google-ads",I2240155697934762,FALSE,CREDITCARD,VISA,
SO45087,United Kingdom,United Kingdom,11388,JOSEPH MARTIN,BK-M82B-44,Plants,1,1,1898.0944,3374.99,03-01-2020,"Meta-ads",A7009533565324047,FALSE,CREDITCARD,,M
SO45094,Canada,Canada,22785,OSCAR PERRY,BK-R93R-62,Plants,1,1,2171.2942,3578.27,03-01-2020,"Google-ads",B8182372744989622,FALSE,CREDITCARD,VISA,
SO45096,France,France,12483,AMANDA PEREZ,BK-R93R-48,Plants,1,1,2171.2942,3578.27,04-01-2020,"Google-ads",I9422796012145797,FALSE,CREDITCARD,VISA,M
SO45097,Southwest,United States,29151,CAROLINE LONG,BK-R93R-52,Plants,1,1,2171.2942,3578.27,04-01-2020,"Google-ads",Q9860950176335745,FALSE,PAYPAL,MC,M
SO45098,Northwest,United States,29167,DAWN SHEN,BK-R93R-62,Plants,1,1,2171.2942,3578.27,04-01-2020,"Google-ads",U5095128914988783,FALSE,CREDITCARD,VISA,M
SO45095,United Kingdom,United Kingdom,11394,GEORGE MCDONALD,BK-M82S-38,Plants,1,1,1912.1544,3399.99,04-01-2020,"Google-ads",A8883240331023491,FALSE,CREDITCARD,VISA,M
SO45099,Northwest,United States,29174,RICHARD PARKER,BK-R93R-48,Plants,1,1,2171.2942,3578.27,04-01-2020,"Google-ads",H7753832353671255,FALSE,CREDITCARD,VISA,M
SO45101,Canada,Canada,22748,ADAM PHILLIPS,BK-R93R-52,Plants,1,1,2171.2942,3578.27,05-01-2020,"Google-ads",H9711146377964577,FALSE,CREDITCARD,VISA,M
SO45100,Germany,Germany,19428,ERIC TURNER,BK-R50R-44,Plants,1,1,413.1463,699.0982,05-01-2020,"Google-ads",P9449654854342518,FALSE,PAYPAL,VISA,M
SO45102,Southwest,United States,29274,MIGUEL GREEN,BK-R93R-62,Plants,1,1,2171.2942,3578.27,05-01-2020,"Google-ads",Y7269459732775720,TRUE,CREDITCARD,VISA,M
SO45104,Southwest,United States,29142,ASHLEY SMITH,BK-R93R-62,Plants,1,1,2171.2942,3578.27,06-01-2020,"Google-ads",Q4658585160601705,FALSE,CREDITCARD,VISA,M
SO45108,Canada,Canada,22975,COURTNEY TURNER,BK-R93R-62,Plants,1,1,2171.2942,3578.27,06-01-2020,"Google-ads",H4570518677344480,FALSE,CREDITCARD,VISA,M
SO45105,Canada,Canada,22765,LUIS COLLINS,BK-R93R-48,Plants,1,1,2171.2942,3578.27,06-01-2020,"Google-ads",R5287123088469764,FALSE,CREDITCARD,MC,M
SO45103,Northwest,United States,29140,RICHARD WARD,BK-R93R-62,Plants,1,1,2171.2942,3578.27,06-01-2020,"Google-ads",D3031848013867037,FALSE,PAYPAL,VISA,M
SO45106,Canada,Canada,19987,TAYLOR MOORE,BK-M82B-38,Plants,1,1,1898.0944,3374.99,06-01-2020,"Google-ads",Q7863659672634406,FALSE,CREDITCARD,MC,M
SO45107,Southwest,United States,29275,TAYLOR THOMAS,BK-R93R-48,Plants,1,1,2171.2942,3578.27,06-01-2020,"Google-ads",M2158507377939077,FALSE,CREDITCARD,,M
SO45109,United Kingdom,United Kingdom,14937,BRENDAN XU,BK-R93R-44,Plants,1,1,2171.2942,3578.27,07-01-2020,"Google-ads",K7736320286929706,FALSE,CREDITCARD,MC,M
SO45112,United Kingdom,United Kingdom,20558,BRIANNA STEWART,BK-R50R-62,Plants,1,1,413.1463,699.0982,07-01-2020,"Google-ads",M3871520770508669,FALSE,CREDITCARD,MC,M
SO45111,Australia,Australia,25713,LATASHA GILL,BK-R50R-44,Plants,1,1,413.1463,699.0982,07-01-2020,"Google-ads",F9489945443674930,FALSE,CREDITCARD,VISA,M
SO45110,Australia,Australia,18710,RICARDO XIE,BK-R93R-44,Plants,1,1,2171.2942,3578.27,07-01-2020,"Google-ads",Q6010537553381064,FALSE,CREDITCARD,VISA,M
SO45119,Australia,Australia,18740,ADAM HILL,BK-R93R-56,Plants,1,1,2171.2942,3578.27,08-01-2020,"Yt-Campaign",C8467547412232735,FALSE,CREDITCARD,AMEX,M
SO45117,Northwest,United States,14727,ANNA BRYANT,BK-R50B-52,Plants,1,1,413.1463,699.0982,08-01-2020,"Google-ads",X2280914017506352,FALSE,CREDITCARD,,M
SO45116,Northwest,United States,29204,AUSTIN SHARMA,BK-R93R-44,Plants,1,1,2171.2942,3578.27,08-01-2020,"Google-ads",V6126142249316910,FALSE,CREDITCARD,DISCOVER,
SO45114,Northwest,United States,29146,IAN HENDERSON,BK-R93R-62,Plants,1,1,2171.2942,3578.27,08-01-2020,"Google-ads",M6362296185725909,FALSE,CREDITCARD,MC,M
SO45115,Southwest,United States,25984,ISABELLA WRIGHT,BK-M82B-38,Plants,1,1,1898.0944,3374.99,08-01-2020,"Google-ads",Y2566233225238813,FALSE,CREDITCARD,VISA,
SO45118,Australia,Australia,18722,JONATHON NAVARRO,BK-R93R-56,Plants,1,1,2171.2942,3578.27,08-01-2020,"Google-ads",J5372851371086499,FALSE,CREDITCARD,VISA,X
SO45113,Southwest,United States,29141,SUZANNE WANG,BK-R93R-52,Plants,1,1,2171.2942,3578.27,08-01-2020,"Google-ads",T7430429310137446,FALSE,PAYPAL,VISA,M
SO45120,Australia,Australia,11751,VICTORIA GONZALES,BK-M82S-38,Plants,1,1,1912.1544,3399.99,08-01-2020,"Google-ads",L2783454227768278,FALSE,CREDITCARD,MC,M
SO45124,Australia,Australia,18725,DENISE KAPOOR,BK-R93R-52,Plants,1,1,2171.2942,3578.27,09-01-2020,"Google-ads",K3868763193824612,FALSE,CREDITCARD,AMEX,M
SO45122,Southwest,United States,29236,ERIC YOUNG,BK-R93R-56,Plants,1,1,2171.2942,3578.27,09-01-2020,"Google-ads",L7547437269801849,FALSE,PAYPAL,MC,M
SO45123,Canada,Canada,22971,MORGAN HOWARD,BK-R93R-44,Plants,1,1,2171.2942,3578.27,09-01-2020,"Google-ads",R3121935543876788,FALSE,CREDITCARD,,M
SO45121,Northwest,United States,29169,VICTORIA BAILEY,BK-R93R-62,Plants,1,1,2171.2942,3578.27,09-01-2020,"Google-ads",V3750528239697027,FALSE,PAYPAL,AMEX,M
SO45129,Australia,Australia,11759,DAWN NATH,BK-M82B-44,Plants,1,1,1898.0944,3374.99,10-01-2020,"Yt-Campaign",A3368262865319419,FALSE,CREDITCARD,VISA,M
SO45127,Northwest,United States,29158,IAN EDWARDS,BK-R93R-52,Plants,1,1,2171.2942,3578.27,10-01-2020,"Google-ads",O9348741911971160,FALSE,CREDITCARD,MC,M
SO45128,Australia,Australia,18726,KATRINA ANAND,BK-R93R-62,Plants,1,1,2171.2942,3578.27,10-01-2020,"Yt-Campaign",Z2753823358228150,FALSE,CREDITCARD,VISA,M
SO45126,France,France,12480,MEREDITH ALVAREZ,BK-R93R-44,Plants,1,1,2171.2942,3578.27,10-01-2020,"Google-ads",D7063395491601968,FALSE,CREDITCARD,VISA,M
SO45136,Australia,Australia,19084,COLLEEN RAJE,BK-R93R-48,Plants,1,1,2171.2942,3578.27,11-01-2020,"Meta-ads",O6184946477313112,FALSE,CREDITCARD,VISA,M
SO45130,United Kingdom,United Kingdom,14975,DALTON SCOTT,BK-R93R-52,Plants,1,1,2171.2942,3578.27,11-01-2020,"Google-ads",H1718860730815438,FALSE,CREDITCARD,MC,M
SO45134,Canada,Canada,22895,EDUARDO PEREZ,BK-R93R-56,Plants,1,1,2171.2942,3578.27,11-01-2020,"Google-ads",W9410823489589145,FALSE,CREDITCARD,VISA,M
SO45138,Australia,Australia,11452,ERIKA RUBIO,BK-M82B-42,Plants,1,1,1898.0944,3374.99,11-01-2020,"Google-ads",Q9670151414126673,FALSE,CREDITCARD,MC,M
SO45132,Southwest,United States,25985,JUSTIN HARRIS,BK-M82B-44,Plants,1,1,1898.0944,3374.99,11-01-2020,"Google-ads",L4044249613063281,FALSE,CREDITCARD,VISA,M
SO45137,Australia,Australia,18735,LATASHA MORENO,BK-R93R-62,Plants,1,1,2171.2942,3578.27,11-01-2020,"Google-ads",C7308518725628066,FALSE,CREDITCARD,AMEX,M
SO45133,Northwest,United States,29163,MASON MURPHY,BK-R93R-56,Plants,1,1,2171.2942,3578.27,11-01-2020,"Google-ads",O8167277232037981,FALSE,PAYPAL,VISA,M
SO45131,Northwest,United States,25979,MIGUEL EDWARDS,BK-M82S-38,Plants,1,1,1912.1544,3399.99,11-01-2020,"Google-ads",O4794204880081569,FALSE,PAYPAL,VISA,M
SO45135,Southwest,United States,29264,RILEY BROOKS,BK-R93R-62,Plants,1,1,2171.2942,3578.27,11-01-2020,"Google-ads",T4788571913916498,FALSE,CREDITCARD,VISA,M
SO45141,Southwest,United States,29222,EVAN PEREZ,BK-R93R-48,Plants,1,1,2171.2942,3578.27,12-01-2020,"Meta-ads",S1703429349632397,FALSE,CREDITCARD,MC,M
SO45143,Southwest,United States,29278,JANET SCOTT,BK-R93R-62,Plants,1,1,2171.2942,3578.27,12-01-2020,"Google-ads",A5394482615879143,FALSE,CREDITCARD,VISA,M
SO45142,Canada,Canada,22901,KATHERINE STEWART,BK-R93R-44,Plants,1,1,2171.2942,3578.27,12-01-2020,"Google-ads",H1222789215431168,FALSE,CREDITCARD,MC,M
SO45145,Australia,Australia,18716,SETH CAMPBELL,BK-R93R-56,Plants,1,1,2171.2942,3578.27,12-01-2020,"Google-ads",F9577996096922900,FALSE,CREDITCARD,VISA,M
SO45144,Australia,Australia,19093,TARA ASHE,BK-R93R-44,Plants,1,1,2171.2942,3578.27,12-01-2020,"Google-ads",I3050844663095030,FALSE,CREDITCARD,AMEX,M
SO45140,France,France,12485,VERONICA SUBRAM,BK-R93R-48,Plants,1,1,2171.2942,3578.27,12-01-2020,"Google-ads",R1304692355267404,FALSE,CREDITCARD,DISCOVER,M
SO45139,France,France,12468,WAYNE NATH,BK-R93R-56,Plants,1,1,2171.2942,3578.27,12-01-2020,"Google-ads",A7845220599015355,FALSE,CREDITCARD,AMEX,
SO45148,Northwest,United States,14656,BRYANT FERNANDEZ,BK-R50B-52,Plants,1,1,413.1463,699.0982,13-01-2020,"Yt-Campaign",K3038658748244568,FALSE,PAYPAL,VISA,
SO45147,Southwest,United States,29166,JAIME HERNANDEZ,BK-R93R-48,Plants,1,1,2171.2942,3578.27,13-01-2020,"Meta-ads",C4188903089909015,FALSE,PAYPAL,AMEX,M
SO45146,United Kingdom,United Kingdom,14950,MARIA HERNANDEZ,BK-R93R-62,Plants,1,1,2171.2942,3578.27,13-01-2020,"Google-ads",Y7709424493473931,FALSE,CREDITCARD,AMEX,M
SO45149,United Kingdom,United Kingdom,14941,EMMA PATTERSON,BK-R93R-56,Plants,1,1,2171.2942,3578.27,14-01-2020,"Google-ads",P9615443531792775,FALSE,CREDITCARD,VISA,M
SO45154,Australia,Australia,18767,GARY ALONSO,BK-R93R-52,Plants,1,1,2171.2942,3578.27,14-01-2020,"Google-ads",X2151547273577767,FALSE,CREDITCARD,DISCOVER,M
SO45151,Northwest,United States,29202,JERRY KUMAR,BK-R93R-56,Plants,1,1,2171.2942,3578.27,14-01-2020,"Yt-Campaign",N8453232881461910,FALSE,CREDITCARD,VISA,M
SO45150,Northwest,United States,25980,JULIA JONES,BK-M82S-44,Plants,1,1,1912.1544,3399.99,14-01-2020,"Google-ads",J8700288883578406,FALSE,CREDITCARD,AMEX,M
SO45157,Australia,Australia,11750,LATOYA SHE,BK-M82S-38,Plants,1,1,1912.1544,3399.99,14-01-2020,"Google-ads",B6784881690699970,FALSE,CREDITCARD,VISA,
SO45156,Australia,Australia,11465,LOUIS LUO,BK-M82S-38,Plants,1,1,1912.1544,3399.99,14-01-2020,"Google-ads",C2829462146904554,TRUE,CREDITCARD,MC,M
SO45155,Australia,Australia,18900,MATHEW TORRES,BK-R93R-48,Plants,1,1,2171.2942,3578.27,14-01-2020,"Google-ads",R8983932472807260,FALSE,CREDITCARD,AMEX,M
SO45153,Australia,Australia,19089,REGINA ARTHUR,BK-R93R-62,Plants,1,1,2171.2942,3578.27,14-01-2020,"Google-ads",Q6539393457017639,FALSE,PAYPAL,,M
SO45152,Northwest,United States,29276,SYDNEY FLORES,BK-R93R-62,Plants,1,1,2171.2942,3578.27,14-01-2020,"Google-ads",X3382432769524480,TRUE,CREDITCARD,VISA,M
SO45162,Australia,Australia,18721,ANDY GOMEZ,BK-R93R-48,Plants,1,1,2171.2942,3578.27,15-01-2020,"Google-ads",H1909254839999456,FALSE,CREDITCARD,VISA,M
SO45158,France,France,28419,CHERYL SUAREZ,BK-M82S-38,Plants,1,1,1912.1544,3399.99,15-01-2020,"Meta-ads",J6364346422973798,FALSE,CREDITCARD,VISA,M
SO45163,Australia,Australia,25714,DARREN GUTIERREZ,BK-R50R-48,Plants,1,1,413.1463,699.0982,15-01-2020,"Google-ads",N5904326975411387,FALSE,CREDITCARD,VISA,M
SO45159,United Kingdom,United Kingdom,11400,FRANKLIN RAJI,BK-M82B-42,Plants,1,1,1898.0944,3374.99,15-01-2020,"Google-ads",U5360628787132854,FALSE,CREDITCARD,MC,M
SO45161,Southwest,United States,25978,MORGAN PEREZ,BK-M82B-42,Plants,1,1,1898.0944,3374.99,15-01-2020,"Google-ads",A3320880992025637,FALSE,CREDITCARD,VISA,M
SO45160,United Kingdom,United Kingdom,14984,REGINA VANCE,BK-R93R-62,Plants,1,1,2171.2942,3578.27,15-01-2020,"Google-ads",B1927594578423345,FALSE,CREDITCARD,VISA,M
SO45164,Australia,Australia,11453,STANLEY MALHOTRA,BK-M82B-42,Plants,1,1,1898.0944,3374.99,15-01-2020,"Google-ads",N9105231634718837,FALSE,PAYPAL,VISA,M
SO45167,Australia,Australia,18706,DARRYL ZHENG,BK-R93R-44,Plants,1,1,2171.2942,3578.27,16-01-2020,"Google-ads",J9749706482371028,TRUE,CREDITCARD,VISA,M
SO45169,Australia,Australia,18766,FRANCISCO SAI,BK-R93R-56,Plants,1,1,2171.2942,3578.27,16-01-2020,"Google-ads",J1849877899017826,FALSE,CREDITCARD,AMEX,M
SO45171,Australia,Australia,11754,JANET ORTEGA,BK-M82S-42,Plants,1,1,1912.1544,3399.99,16-01-2020,"Google-ads",X1855841367545026,FALSE,CREDITCARD,VISA,
SO45170,Australia,Australia,11462,LAURA LIN,BK-M82B-48,Plants,1,1,1898.0944,3374.99,16-01-2020,"Google-ads",Y2625692152685293,FALSE,CREDITCARD,MC,M
SO45166,Australia,Australia,19083,STEVEN RIVERA,BK-R93R-48,Plants,1,1,2171.2942,3578.27,16-01-2020,"Google-ads",K1342897077385322,FALSE,CREDITCARD,VISA,M
SO45168,Australia,Australia,18738,TAMARA LUO,BK-R93R-48,Plants,1,1,2171.2942,3578.27,16-01-2020,"Google-ads",H6051395917917689,FALSE,CREDITCARD,VISA,M
SO45165,Canada,Canada,22881,WYATT MARTINEZ,BK-R93R-52,Plants,1,1,2171.2942,3578.27,16-01-2020,"Google-ads",T7404194756382192,FALSE,CREDITCARD,VISA,M
SO45172,France,France,18008,DEANNA SAI,BK-R50B-60,Plants,1,1,413.1463,699.0982,17-01-2020,"Yt-Campaign",C9414425912542449,FALSE,CREDITCARD,VISA,M
SO45176,Northwest,United States,29254,ERIN SANCHEZ,BK-R93R-52,Plants,1,1,2171.2942,3578.27,17-01-2020,"Google-ads",H7337610475956898,FALSE,CREDITCARD,VISA,M
SO45174,Southwest,United States,29198,FAITH RAMIREZ,BK-R93R-52,Plants,1,1,2171.2942,3578.27,17-01-2020,"Google-ads",R9132132267789483,FALSE,CREDITCARD,VISA,M
SO45179,Australia,Australia,11457,JAIME GUTIERREZ,BK-M82B-48,Plants,1,1,1898.0944,3374.99,17-01-2020,"Google-ads",Y7917219965029058,TRUE,CREDITCARD,AMEX,M
SO45178,Australia,Australia,11456,JON GAO,BK-M82S-48,Plants,1,1,1912.1544,3399.99,17-01-2020,"Google-ads",T1861972084033188,FALSE,CREDITCARD,VISA,M
SO45177,Australia,Australia,18903,LOUIS ZENG,BK-R93R-56,Plants,1,1,2171.2942,3578.27,17-01-2020,"Google-ads",M1042493971898099,FALSE,PAYPAL,VISA,M
SO45173,Southwest,United States,29157,SETH POWELL,BK-R93R-56,Plants,1,1,2171.2942,3578.27,17-01-2020,"Google-ads",X8733596268293881,FALSE,CREDITCARD,VISA,M
SO45175,Southwest,United States,29238,XAVIER POWELL,BK-R93R-52,Plants,1,1,2171.2942,3578.27,17-01-2020,"Google-ads",K6807810821429341,FALSE,CREDITCARD,VISA,
SO45180,United Kingdom,United Kingdom,15046,CASEY TANG,BK-R93R-44,Plants,1,1,2171.2942,3578.27,18-01-2020,"Google-ads",O6857534671176202,FALSE,CREDITCARD,MC,M
SO45184,Australia,Australia,25717,ERNEST GUO,BK-R50R-58,Plants,1,1,413.1463,699.0982,18-01-2020,"Google-ads",E6230253119606852,FALSE,CREDITCARD,VISA,M
SO45183,Australia,Australia,25711,MARIO LUO,BK-R50B-60,Plants,1,1,413.1463,699.0982,18-01-2020,"Google-ads",O9132624056043227,FALSE,CREDITCARD,AMEX,M
SO45181,United Kingdom,United Kingdom,14929,PETER ANAND,BK-R93R-62,Plants,1,1,2171.2942,3578.27,18-01-2020,"Google-ads",G5116973615032726,FALSE,PAYPAL,VISA,
SO45185,United Kingdom,United Kingdom,14949,STEVE WU,BK-R93R-62,Plants,1,1,2171.2942,3578.27,18-01-2020,"Google-ads",A6536269876894449,FALSE,CREDITCARD,DISCOVER,M
SO45182,Australia,Australia,18769,THERESA DOMINGUEZ,BK-R93R-48,Plants,1,1,2171.2942,3578.27,18-01-2020,"Google-ads",N4263507486022166,NA,CREDITCARD,,
SO45186,United Kingdom,United Kingdom,14991,EDWIN ZHAO,BK-R93R-52,Plants,1,1,2171.2942,3578.27,19-01-2020,"Google-ads",R5187361760589532,FALSE,CREDITCARD,AMEX,M
SO45191,Northwest,United States,14660,GABRIELLE HOWARD,BK-R50R-48,Plants,1,1,413.1463,699.0982,19-01-2020,"Google-ads",Q4914335153717086,FALSE,CREDITCARD,VISA,M
SO45187,United Kingdom,United Kingdom,15047,MEGHAN VAZQUEZ,BK-R93R-62,Plants,1,1,2171.2942,3578.27,19-01-2020,"Google-ads",Z9176505267964821,FALSE,CREDITCARD,VISA,M
SO45188,United Kingdom,United Kingdom,14861,MISTY DENG,BK-R93R-44,Plants,1,1,2171.2942,3578.27,19-01-2020,"Yt-Campaign",X2163204089967500,FALSE,CREDITCARD,VISA,M
SO45190,Australia,Australia,18931,ROSA SHE,BK-R93R-52,Plants,1,1,2171.2942,3578.27,19-01-2020,"Google-ads",Y3984688215643038,FALSE,CREDITCARD,VISA,M
SO45189,Northwest,United States,29145,SHELBY GRAY,BK-R93R-62,Plants,1,1,2171.2942,3578.27,19-01-2020,"Google-ads",C8303871981139426,FALSE,CREDITCARD,AMEX,M
SO45196,Australia,Australia,18739,CHRISTY PAL,BK-R93R-44,Plants,1,1,2171.2942,3578.27,20-01-2020,"Yt-Campaign",F3636486297409778,FALSE,CREDITCARD,VISA,M
SO45195,Australia,Australia,18929,DONALD GARCIA,BK-R93R-52,Plants,1,1,2171.2942,3578.27,20-01-2020,"Google-ads",G7902729859608622,FALSE,CREDITCARD,VISA,M
SO45193,Canada,Canada,22889,JULIA LONG,BK-R93R-62,Plants,1,1,2171.2942,3578.27,20-01-2020,"Meta-ads",A5656378357097561,FALSE,CREDITCARD,AMEX,M
SO45194,Southwest,United States,29221,KELLY BENNETT,BK-R93R-52,Plants,1,1,2171.2942,3578.27,20-01-2020,"Google-ads",C9622417421858623,FALSE,CREDITCARD,VISA,M
SO45192,United Kingdom,United Kingdom,14846,KELSEY CHANDE,BK-R93R-56,Plants,1,1,2171.2942,3578.27,20-01-2020,"Google-ads",V6752601781026441,TRUE,CREDITCARD,VISA,
SO45197,Australia,Australia,18902,STEVE CHEN,BK-R93R-56,Plants,1,1,2171.2942,3578.27,20-01-2020,"Google-ads",T2343225343218196,FALSE,CREDITCARD,MC,M
SO45201,Southwest,United States,29168,DERRICK ROMERO,BK-R93R-48,Plants,1,1,2171.2942,3578.27,21-01-2020,"Google-ads",R2893618389008586,FALSE,CREDITCARD,DISCOVER,M
SO45199,Germany,Germany,29476,ELIZABETH BRADLEY,BK-M82S-44,Plants,1,1,1912.1544,3399.99,21-01-2020,"Meta-ads",H1269224674505115,FALSE,CREDITCARD,VISA,M
SO45200,Southwest,United States,29148,GABRIELLA MURPHY,BK-R93R-44,Plants,1,1,2171.2942,3578.27,21-01-2020,"Google-ads",N2527521633986937,FALSE,CREDITCARD,MC,M
SO45204,Australia,Australia,11460,MELVIN CHANDE,BK-M82S-42,Plants,1,1,1912.1544,3399.99,21-01-2020,"Google-ads",X9091323644229533,FALSE,CREDITCARD,,M
SO45203,Australia,Australia,18907,PRISCILLA NARA,BK-R93R-56,Plants,1,1,2171.2942,3578.27,21-01-2020,"Meta-ads",S2747967073549095,TRUE,PAYPAL,VISA,M
SO45202,Australia,Australia,19094,TODD YANG,BK-R93R-56,Plants,1,1,2171.2942,3578.27,21-01-2020,"Google-ads",M8669728832333168,FALSE,CREDITCARD,MC,
SO45198,United Kingdom,United Kingdom,14847,VADIM SAZANOVICH,BK-R93R-52,Plants,1,1,2171.2942,3578.27,21-01-2020,"Google-ads",X7817693391231676,FALSE,CREDITCARD,VISA,M
SO45213,Australia,Australia,11464,ALEJANDRO HUANG,BK-M82B-42,Plants,1,1,1898.0944,3374.99,22-01-2020,"Google-ads",H7242331839457675,FALSE,CREDITCARD,VISA,M
SO45207,Southwest,United States,29156,ASHLEY BARNES,BK-R93R-48,Plants,1,1,2171.2942,3578.27,22-01-2020,"Google-ads",K9165997029401326,FALSE,CREDITCARD,MC,M
SO45211,Australia,Australia,18724,DENISE FERNANDEZ,BK-R93R-44,Plants,1,1,2171.2942,3578.27,22-01-2020,"Google-ads",J3781933447363113,FALSE,CREDITCARD,AMEX,M
SO45212,Australia,Australia,18729,EVAN PARKER,BK-R93R-56,Plants,1,1,2171.2942,3578.27,22-01-2020,"Google-ads",Z2996147789446064,FALSE,CREDITCARD,VISA,M
SO45208,Canada,Canada,19884,JAMES SIMMONS,BK-M82S-38,Plants,1,1,1912.1544,3399.99,22-01-2020,"Google-ads",K3861722249077356,FALSE,CREDITCARD,VISA,M
SO45209,Southwest,United States,29201,KARA JAI,BK-R93R-56,Plants,1,1,2171.2942,3578.27,22-01-2020,"Google-ads",W6978627332205371,FALSE,CREDITCARD,,M
SO45210,Southwest,United States,29239,SAMANTHA MILLER,BK-R93R-44,Plants,1,1,2171.2942,3578.27,22-01-2020,"Google-ads",U7177387587232938,FALSE,CREDITCARD,VISA,P
SO45206,France,France,12474,TAMMY CHANDRA,BK-R93R-52,Plants,1,1,2171.2942,3578.27,22-01-2020,"Google-ads",A1151883756873243,FALSE,CREDITCARD,MC,M
SO45205,France,France,28420,TRACY CHAPMAN,BK-M82S-38,Plants,1,1,1912.1544,3399.99,22-01-2020,"Google-ads",V5679295321362914,FALSE,CREDITCARD,VISA,M
SO45215,Northwest,United States,29208,AMBER LOPEZ,BK-R93R-48,Plants,1,1,2171.2942,3578.27,23-01-2020,"Google-ads",A7560749779186516,FALSE,CREDITCARD,MC,M
SO45214,France,France,12464,JARED COOK,BK-R93R-62,Plants,1,1,2171.2942,3578.27,23-01-2020,"Google-ads",E7697893655332149,FALSE,CREDITCARD,MC,M
SO45216,Southwest,United States,29261,ROBERT TURNER,BK-R93R-52,Plants,1,1,2171.2942,3578.27,23-01-2020,"Meta-ads",Y4212168282095304,FALSE,CREDITCARD,VISA,M
SO45217,Northwest,United States,29144,BRANDON ZHANG,BK-R93R-56,Plants,1,1,2171.2942,3578.27,24-01-2020,"Google-ads",U6991315381842996,FALSE,CREDITCARD,VISA,M
SO45219,Canada,Canada,22893,CHLOE MILLER,BK-R93R-52,Plants,1,1,2171.2942,3578.27,24-01-2020,"Google-ads",Y6095340455498964,FALSE,CREDITCARD,VISA,M
SO45222,Northwest,United States,14728,ELIZABETH HENDERSON,BK-R50R-52,Plants,1,1,413.1463,699.0982,24-01-2020,"Google-ads",J5173160649326679,FALSE,CREDITCARD,VISA,M
SO45221,Canada,Canada,22903,HAILEY STEWART,BK-R93R-56,Plants,1,1,2171.2942,3578.27,24-01-2020,"Google-ads",K3934697189798027,TRUE,CREDITCARD,VISA,M
SO45220,Northwest,United States,29207,KATELYN JAMES,BK-R93R-48,Plants,1,1,2171.2942,3578.27,24-01-2020,"Google-ads",D6581771811239311,FALSE,CREDITCARD,MC,M
SO45223,Australia,Australia,18930,KATELYN RICHARDSON,BK-R93R-48,Plants,1,1,2171.2942,3578.27,24-01-2020,"Yt-Campaign",P1241215840575799,FALSE,CREDITCARD,VISA,M
